model,fold,RMSE,MAE,R2,n_val
ridge,1,11.378337239633145,8.210723477530745,0.9591672743409533,7703
ridge,2,11.448537793055081,8.23439726869902,0.9600678013628776,7323
ridge,3,11.151830269249617,7.971865070582922,0.9643324027601817,8668
ridge,4,10.96620861597156,7.672817192549901,0.9562500467510501,8268
rf,1,11.963887158226933,8.616523766250625,0.9548564836887992,7703
rf,2,11.935000270692797,8.585285741018911,0.9566021669374801,7323
rf,3,11.69140035870079,8.280234143465108,0.9607974229013299,8668
rf,4,11.370152094790123,7.980019996774714,0.9529676006602255,8268
