FlightDate,Origin,Dest,Reporting_Airline,y_true,y_prob
2025-04-22,BOS,LAS,B6,0,0.791854136011833
2025-04-04,XNA,ORD,MQ,1,0.3646351592452957
2025-04-07,RSW,ATL,DL,1,0.4686900256215215
2025-04-26,BWI,FLL,WN,0,0.6085172143714193
2025-04-06,DAL,SAV,WN,1,0.19753143977858556
2025-04-30,PDX,DEN,AS,0,0.33797723966412274
2025-04-27,PHX,SLC,WN,0,0.37979461916433027
2025-04-27,EWR,LAX,NK,0,0.5906232910636925
2025-04-21,DFW,SEA,AA,0,0.46961264684254905
2025-04-15,SAT,BWI,WN,0,0.2543975300715204
2025-04-18,PIT,SAV,G4,0,0.9043934962046657
2025-04-08,KOA,SEA,AS,0,0.3334864242270628
2025-04-22,DCA,DSM,OH,0,0.13037908076033144
2025-04-26,ORD,SEA,AS,0,0.6727200219996808
2025-04-06,IAH,CLT,AA,0,0.6206874934186813
2025-04-12,IAH,LAX,UA,0,0.6373769281855078
2025-04-13,IAD,BNA,UA,0,0.5875621868002325
2025-04-12,SLC,EUG,OO,0,0.234786279326017
2025-04-10,RDM,SAN,OO,1,0.6070911319073184
2025-04-24,MIA,ORD,AA,0,0.6844490947683746
2025-04-07,SLC,LAS,DL,0,0.5148963228341746
2025-04-04,DEN,TUL,WN,1,0.4022974309144366
2025-04-24,LAS,SBA,WN,1,0.36193142932576017
2025-04-25,LAX,DAL,WN,0,0.41158468481768146
2025-04-06,DAL,HOU,WN,0,0.654974042162946
2025-04-19,SEA,JFK,DL,0,0.7825628284503988
2025-04-29,HDN,DEN,OO,0,0.1916595109727337
2025-04-28,AUS,MSP,DL,1,0.21061094963506452
2025-04-21,PVD,MCO,WN,0,0.3889837495659759
2025-04-14,CLT,SGF,MQ,0,0.6573886236635532
2025-04-02,ORD,LGA,DL,1,0.45069146572916874
2025-04-13,ICT,VPS,G4,0,0.3753389985912091
2025-04-12,BOS,FLL,DL,0,0.8142513341151226
2025-04-15,LAX,EWR,UA,1,0.3309645473747493
2025-04-11,DTW,DCA,OH,1,0.5293476668471502
2025-04-06,LAX,SFO,UA,0,0.7496553207533896
2025-04-06,EWR,PBI,UA,0,0.6149968246971348
2025-04-28,SEA,AUS,DL,0,0.21417998764677307
2025-04-10,EWR,MIA,UA,0,0.5028047860704942
2025-04-28,ORD,HPN,MQ,0,0.20984173851298657
2025-04-12,BUR,LAS,NK,0,0.5892755531813311
2025-04-21,DEN,ATL,DL,0,0.3197231837544126
2025-04-10,MSN,MSP,DL,0,0.4935077548495628
2025-04-12,PHX,OKC,OO,0,0.3202388572871675
2025-04-10,AUS,BNA,OO,1,0.46958788363487053
2025-04-16,KOA,HNL,WN,0,0.22594337503777956
2025-04-10,MIA,JAX,MQ,0,0.2980879425437554
2025-04-16,PHL,RSW,AA,0,0.6273582461788537
2025-04-16,SEA,MSP,DL,0,0.18686406374388098
2025-04-23,DEN,TUL,OO,0,0.4955117218026371
2025-04-28,BOI,LAS,WN,0,0.5134438858348226
2025-04-16,BWI,DFW,AA,0,0.5269727360246761
2025-04-28,DCA,MCO,AA,0,0.38515871663796425
2025-04-01,LAX,OMA,OO,0,0.1681848656072438
2025-04-10,ABQ,DEN,UA,0,0.21416727325096602
2025-04-09,LIT,LGA,YX,0,0.2594846098943194
2025-04-06,DEN,RDU,UA,0,0.740983092765884
2025-04-13,MCO,SAT,F9,0,0.2937253113810729
2025-04-17,TTN,PBI,F9,0,0.8238861364410429
2025-04-17,SJU,FLL,NK,1,0.760424930824603
2025-04-30,SEA,DFW,AS,1,0.7553304506667813
2025-04-13,AUS,IAH,UA,0,0.5426996471399723
2025-04-29,DCA,RDU,AA,0,0.5372704333866147
2025-04-03,SLC,SEA,DL,0,0.1713977906824433
2025-04-10,DTW,APN,OO,0,0.6072675102172187
2025-04-18,SLC,SEA,OO,0,0.2181968441052576
2025-04-13,JFK,LAX,DL,1,0.38928710640805525
2025-04-14,FAR,DEN,OO,1,0.5205661698820112
2025-04-26,SEA,MCO,AS,0,0.7193973251983643
2025-04-01,PHL,BOS,YX,0,0.42603244293828835
2025-04-28,LAX,ORD,UA,0,0.4235988548405955
2025-04-09,CLE,LAS,WN,0,0.8970364704121327
2025-04-09,CLT,CAE,OH,0,0.5224379199525079
2025-04-09,PHX,PHL,AA,0,0.24638165700633433
2025-04-26,IAD,ORD,UA,0,0.5723892874256215
2025-04-06,TPA,TTN,F9,1,0.4332678740125596
2025-04-13,OAK,OGG,HA,0,0.40619419930396217
2025-04-01,DFW,LAS,AA,1,0.708770042284766
2025-04-05,BOS,JFK,YX,0,0.385034153600277
2025-04-24,CLT,FLL,NK,0,0.8495007503251428
2025-04-30,DFW,LBB,MQ,1,0.30250902191887796
2025-04-26,DEN,XNA,UA,0,0.440391242764548
2025-04-11,IAH,DTW,DL,1,0.4474241774829868
2025-04-20,ILM,CLT,MQ,0,0.4321812539252459
2025-04-18,HOU,DAL,WN,0,0.4222326594919965
2025-04-04,IAH,LAS,UA,1,0.7576128693301284
2025-04-09,SJC,LAX,OO,0,0.40833396735161626
2025-04-03,ROC,ATL,DL,0,0.2877531981438678
2025-04-30,CMH,RSW,WN,0,0.7812387533869762
2025-04-06,MSY,IND,NK,1,0.36365820382481995
2025-04-22,MIA,DCA,AA,0,0.7095261054367249
2025-04-15,ABQ,AUS,WN,0,0.3326494104250715
2025-04-04,BTV,DCA,OH,0,0.7139205164245682
2025-04-24,CLT,DTW,DL,0,0.3389709205462201
2025-04-27,ECP,ATL,DL,0,0.3724167365125766
2025-04-21,DFW,MSO,MQ,0,0.1101445170029329
2025-04-24,TUS,DEN,UA,1,0.22425740733808325
2025-04-27,ATL,DEN,F9,1,0.7230302201856991
2025-04-05,ORD,SRQ,UA,0,0.21712137560576994
2025-04-02,DEN,BOS,UA,0,0.4330485149873609
2025-04-05,DEN,BUR,WN,0,0.607365330466631
2025-04-19,MDW,CMH,WN,1,0.5062696689556673
2025-04-06,FLL,RDU,NK,0,0.7428656789190501
2025-04-23,ACV,LAX,OO,0,0.21206841492761175
2025-04-02,MHT,MCO,WN,1,0.7381453463123716
2025-04-29,BOS,MSY,NK,0,0.15419736787539426
2025-04-02,CLE,BOS,YX,1,0.23882171324456478
2025-04-02,MEM,LGA,YX,0,0.2012160834605308
2025-04-14,IAD,IND,YX,1,0.26182123932994794
2025-04-29,ORD,SRQ,AA,1,0.2615274483889636
2025-04-09,DEN,TUS,OO,0,0.44953805094616195
2025-04-25,BWI,IAH,UA,0,0.4493604533505701
2025-04-11,TVC,DTW,OO,0,0.7521244992802038
2025-04-21,OKC,SEA,AS,0,0.7547752219798678
2025-04-16,DCA,RSW,AA,0,0.5513434657895107
2025-04-09,ORD,FSD,MQ,0,0.5653841517011463
2025-04-21,SFO,LAX,UA,0,0.7745351861416871
2025-04-25,SAN,ATL,DL,0,0.4085398112577791
2025-04-13,PDX,SMF,OO,0,0.8385719566880794
2025-04-17,DCA,PWM,YX,1,0.2958581574973421
2025-04-21,BWI,SLC,WN,0,0.3586375707832179
2025-04-16,SNA,PHX,WN,0,0.4463732158754837
2025-04-01,SMF,SAN,WN,0,0.6597161614575463
2025-04-13,TYS,DFW,AA,0,0.6596573720973112
2025-04-03,SEA,LAX,OO,0,0.5693675432248999
2025-04-29,SEA,ORD,DL,1,0.6349649474609702
2025-04-02,MIA,ATL,NK,0,0.38861194826097667
2025-04-25,ORD,SEA,DL,1,0.6045967446654921
2025-04-11,DTW,BNA,DL,0,0.2288542438925502
2025-04-24,SJU,PHL,F9,0,0.6632263162232571
2025-04-09,ORD,CMH,YX,0,0.538747176656224
2025-04-24,DFW,PHL,AA,0,0.4432959188548416
2025-04-09,PDX,ORD,AS,0,0.2229465758140605
2025-04-27,MEM,ATL,DL,0,0.4945985031347306
2025-04-11,FAR,LAS,G4,0,0.18413899826726562
2025-04-01,SFB,IND,G4,1,0.7878552977468699
2025-04-15,TPA,CLT,AA,0,0.46420805918007624
2025-04-29,ORD,ROC,MQ,0,0.43369962002789275
2025-04-18,GJT,DEN,OO,0,0.07643279922498335
2025-04-03,SAN,SEA,AS,0,0.3896751546106369
2025-04-02,CVG,PHL,OH,1,0.5218219114890598
2025-04-01,SLC,LAS,WN,0,0.7099411299406942
2025-04-07,PHX,OAK,WN,1,0.6119961039132491
2025-04-24,AGS,DCA,OH,0,0.1279468473013064
2025-04-11,EWR,STL,YX,0,0.5706704359137157
2025-04-14,RSW,ATL,DL,1,0.3342843629463235
2025-04-05,IND,RSW,WN,1,0.5379189498816522
2025-04-29,EWR,PHX,UA,0,0.597760496205288
2025-04-28,BOS,DCA,YX,0,0.2437324613698862
2025-04-21,PHL,CHS,F9,1,0.5173361490010752
2025-04-15,HNL,KOA,WN,0,0.3252066608212044
2025-04-15,GPT,DFW,MQ,0,0.2389962797549174
2025-04-07,HNL,ITO,HA,0,0.43474828156324374
2025-04-10,LAS,OAK,WN,0,0.7233035886837229
2025-04-24,ORD,EWR,NK,1,0.5420219167967186
2025-04-01,LBB,DFW,AA,0,0.3858904413452324
2025-04-15,PHL,SEA,AS,0,0.5602193975904757
2025-04-05,IAH,ATL,DL,0,0.5032508348892991
2025-04-14,EWR,BOS,UA,0,0.489453375992737
2025-04-08,LAX,STL,WN,0,0.08051261017431653
2025-04-11,DCA,MSP,DL,1,0.5159319340923737
2025-04-08,SLC,MIA,AA,0,0.6524087172630554
2025-04-21,DEN,CPR,OO,0,0.4549071590208076
2025-04-28,PSC,SEA,OO,0,0.36549216313375377
2025-04-11,AUS,ATL,DL,0,0.4112478810585618
2025-04-11,HOU,FLL,WN,0,0.16231555799179964
2025-04-26,MDW,LAS,WN,0,0.37564713214545636
2025-04-15,GEG,DEN,WN,0,0.08742181827155962
2025-04-09,MCO,LGA,DL,0,0.44057868663572125
2025-04-19,TYS,PHL,OH,0,0.8631699282895411
2025-04-17,SLC,PHX,WN,0,0.36370620822505345
2025-04-19,ATL,ORF,DL,0,0.5864164903939894
2025-04-25,LAX,MIA,AA,0,0.4937202880627347
2025-04-09,BNA,DAL,WN,0,0.35303502994507335
2025-04-15,SAN,SEA,AS,0,0.3353883467225503
2025-04-21,DTW,SFO,DL,0,0.9494186759864278
2025-04-25,LIT,ATL,DL,0,0.35941688811613787
2025-04-29,PHX,PAE,AS,0,0.11455339937591948
2025-04-12,LAS,ORD,AA,0,0.5782282688844259
2025-04-08,SAN,SEA,AS,0,0.41632712221118995
2025-04-01,FLL,ATW,G4,0,0.11326563130992225
2025-04-14,CLT,DAY,OH,0,0.2440869029969114
2025-04-14,DEN,LAR,OO,0,0.4010465439803126
2025-04-26,PHX,STL,WN,0,0.20488539974625816
2025-04-08,CMH,DAL,WN,0,0.8839632951705223
2025-04-25,BDL,PBI,B6,0,0.6148551194489728
2025-04-23,DFW,PHL,AA,0,0.5792255032454021
2025-04-02,RIC,BOS,B6,0,0.3927089008300177
2025-04-29,MIA,EWR,UA,0,0.5932869322941224
2025-04-23,SEA,PSP,AS,0,0.2734759679423011
2025-04-21,BUF,ATL,DL,0,0.35123052230578033
2025-04-07,PHL,CLT,AA,0,0.3397506292708568
2025-04-25,ORD,AUS,UA,0,0.21288365637769835
2025-04-16,DCA,LAX,AA,0,0.23404742952863172
2025-04-18,LAX,BOI,OO,0,0.33186291098120163
2025-04-20,MCO,MSP,DL,0,0.3313682037295718
2025-04-11,BUR,SMF,WN,0,0.3322654637149074
2025-04-14,SFO,SNA,UA,0,0.4104247515693819
2025-04-03,ATL,DEN,DL,1,0.5991979805112732
2025-04-24,MYR,BWI,WN,1,0.21727104551071033
2025-04-24,EWR,PDX,UA,1,0.210939257081965
2025-04-24,PIT,ATL,DL,1,0.5656563257326935
2025-04-03,BOS,CMH,YX,1,0.3187342338322985
2025-04-02,MLU,DFW,MQ,0,0.5311390459340986
2025-04-30,ORD,ROA,OO,0,0.8722246607113261
2025-04-17,SEA,LAX,AS,0,0.5934636104814036
2025-04-21,SJU,RDU,F9,1,0.5971698235351758
2025-04-13,EWR,SYR,YX,0,0.4599556554555087
2025-04-14,ATL,LGA,DL,0,0.3990792112641557
2025-04-29,SLC,LAS,WN,0,0.7042921407523931
2025-04-06,SJC,DFW,AA,0,0.23516698651975596
2025-04-13,CLT,MCO,AA,1,0.6146834888356626
2025-04-07,MSY,MIA,AA,0,0.14957641909323316
2025-04-11,ATL,MDW,WN,1,0.4109039251032178
2025-04-30,DEN,EWR,UA,1,0.6673224127349151
2025-04-19,LAS,JFK,B6,1,0.47897962070220584
2025-04-22,AVL,BOS,G4,0,0.8308204193304272
2025-04-10,DFW,MCO,AA,0,0.5926364776581717
