thr,val_cost
0.01,6409.0
0.014949494949494949,6000.0
0.0198989898989899,5742.0
0.02484848484848485,5212.0
0.029797979797979796,4946.0
0.03474747474747475,4452.0
0.039696969696969696,4209.0
0.04464646464646465,3811.0
0.049595959595959596,3600.0
0.05454545454545454,3248.0
0.059494949494949496,3115.0
0.06444444444444444,2837.0
0.06939393939393938,2688.0
0.07434343434343434,2479.0
0.07929292929292929,2362.0
0.08424242424242423,2201.0
0.08919191919191918,2160.0
0.09414141414141414,2051.0
0.09909090909090908,1990.0
0.10404040404040403,1908.0
0.10898989898989898,1874.0
0.11393939393939392,1787.0
0.11888888888888888,1755.0
0.12383838383838383,1698.0
0.12878787878787878,1701.0
0.13373737373737374,1659.0
0.1386868686868687,1636.0
0.14363636363636365,1622.0
0.1485858585858586,1621.0
0.15353535353535352,1600.0
0.15848484848484848,1592.0
0.16343434343434343,1575.0
0.16838383838383839,1565.0
0.17333333333333334,1562.0
0.1782828282828283,1539.0
0.18323232323232325,1538.0
0.18818181818181817,1527.0
0.19313131313131313,1517.0
0.19808080808080808,1517.0
0.20303030303030303,1522.0
0.207979797979798,1510.0
0.21292929292929294,1496.0
0.21787878787878787,1489.0
0.22282828282828282,1481.0
0.22777777777777777,1492.0
0.23272727272727273,1488.0
0.23767676767676768,1489.0
0.24262626262626263,1499.0
0.24757575757575756,1500.0
0.2525252525252525,1502.0
0.25747474747474747,1527.0
0.26242424242424245,1526.0
0.2673737373737374,1522.0
0.2723232323232323,1517.0
0.2772727272727273,1525.0
0.2822222222222222,1526.0
0.2871717171717172,1549.0
0.2921212121212121,1553.0
0.29707070707070704,1559.0
0.302020202020202,1555.0
0.30696969696969695,1561.0
0.31191919191919193,1559.0
0.31686868686868686,1556.0
0.32181818181818184,1554.0
0.32676767676767676,1567.0
0.3317171717171717,1584.0
0.33666666666666667,1603.0
0.3416161616161616,1634.0
0.3465656565656566,1630.0
0.3515151515151515,1642.0
0.3564646464646465,1649.0
0.3614141414141414,1677.0
0.36636363636363634,1687.0
0.3713131313131313,1719.0
0.37626262626262624,1724.0
0.3812121212121212,1734.0
0.38616161616161615,1739.0
0.3911111111111111,1757.0
0.39606060606060606,1759.0
0.401010101010101,1776.0
0.40595959595959596,1779.0
0.4109090909090909,1811.0
0.41585858585858587,1819.0
0.4208080808080808,1865.0
0.4257575757575757,1871.0
0.4307070707070707,1890.0
0.43565656565656563,1904.0
0.4406060606060606,1928.0
0.44555555555555554,1925.0
0.4505050505050505,1945.0
0.45545454545454545,1952.0
0.46040404040404037,1957.0
0.46535353535353535,1959.0
0.4703030303030303,1998.0
0.47525252525252526,2011.0
0.4802020202020202,2058.0
0.4851515151515151,2061.0
0.4901010101010101,2065.0
0.495050505050505,2087.0
0.5,2100.0
0.5049494949494949,2114.0
0.5098989898989899,2145.0
0.5148484848484849,2157.0
0.5197979797979798,2157.0
0.5247474747474747,2183.0
0.5296969696969697,2196.0
0.5346464646464646,2218.0
0.5395959595959596,2231.0
0.5445454545454546,2250.0
0.5494949494949495,2254.0
0.5544444444444444,2270.0
0.5593939393939393,2282.0
0.5643434343434344,2312.0
0.5692929292929293,2361.0
0.5742424242424242,2406.0
0.5791919191919191,2425.0
0.5841414141414141,2483.0
0.5890909090909091,2516.0
0.594040404040404,2559.0
0.598989898989899,2582.0
0.6039393939393939,2613.0
0.6088888888888889,2627.0
0.6138383838383838,2655.0
0.6187878787878788,2677.0
0.6237373737373737,2730.0
0.6286868686868686,2755.0
0.6336363636363637,2812.0
0.6385858585858586,2842.0
0.6435353535353535,2905.0
0.6484848484848484,2919.0
0.6534343434343434,2991.0
0.6583838383838384,3029.0
0.6633333333333333,3078.0
0.6682828282828283,3177.0
0.6732323232323232,3207.0
0.6781818181818181,3303.0
0.6831313131313131,3328.0
0.6880808080808081,3427.0
0.693030303030303,3492.0
0.6979797979797979,3556.0
0.702929292929293,3600.0
0.7078787878787879,3706.0
0.7128282828282828,3749.0
0.7177777777777777,3843.0
0.7227272727272727,3933.0
0.7276767676767677,4082.0
0.7326262626262626,4130.0
0.7375757575757576,4278.0
0.7425252525252525,4357.0
0.7474747474747474,4552.0
0.7524242424242424,4637.0
0.7573737373737374,4827.0
0.7623232323232323,4932.0
0.7672727272727272,5081.0
0.7722222222222221,5186.0
0.7771717171717172,5408.0
0.7821212121212121,5518.0
0.787070707070707,5701.0
0.792020202020202,5800.0
0.796969696969697,6039.0
0.8019191919191919,6144.0
0.8068686868686868,6344.0
0.8118181818181818,6429.0
0.8167676767676767,6588.0
0.8217171717171717,6668.0
0.8266666666666667,6753.0
0.8316161616161616,6913.0
0.8365656565656565,7027.0
0.8415151515151514,7201.0
0.8464646464646465,7301.0
0.8514141414141414,7450.0
0.8563636363636363,7520.0
0.8613131313131313,7630.0
0.8662626262626262,7700.0
0.8712121212121212,7830.0
0.8761616161616161,7860.0
0.8811111111111111,7920.0
0.886060606060606,7945.0
0.891010101010101,8020.0
0.895959595959596,8045.0
0.9009090909090909,8080.0
0.9058585858585858,8085.0
0.9108080808080807,8110.0
0.9157575757575758,8125.0
0.9207070707070707,8130.0
0.9256565656565656,8135.0
0.9306060606060605,8145.0
0.9355555555555555,8145.0
0.9405050505050505,8145.0
0.9454545454545454,8150.0
0.9504040404040404,8155.0
0.9553535353535353,8155.0
0.9603030303030302,8155.0
0.9652525252525253,8155.0
0.9702020202020202,8160.0
0.9751515151515151,8160.0
0.98010101010101,8160.0
0.9850505050505051,8160.0
0.99,8160.0
