task,removed,val_RMSE,test_RMSE,val_R2,test_R2
reg,(none),11.395163177433242,11.055559485092555,0.9609170943405244,0.9555342074264159
reg,CORE,11.435626405355288,11.055183504678272,0.9606390415846541,0.9555372317840445
reg,PROFILE,11.343266273963167,10.99644232730447,0.9612722736489411,0.9560084779699992
reg,ROLLING,11.397297531918188,11.054485696702915,0.9609024522356578,0.9555428446253061
