,count,mean,std,min,25%,50%,75%,max
Div3WheelsOff,1.0,1702.0,,1702.0,1702.0,1702.0,1702.0,1702.0
Div5Airport,0.0,,,,,,,
Div5TailNum,0.0,,,,,,,
Div5WheelsOff,0.0,,,,,,,
Div5LongestGTime,0.0,,,,,,,
Div5TotalGTime,0.0,,,,,,,
Div5WheelsOn,0.0,,,,,,,
Div5AirportSeqID,0.0,,,,,,,
Div5AirportID,0.0,,,,,,,
Div4TailNum,0.0,,,,,,,
Div4WheelsOff,0.0,,,,,,,
Div4LongestGTime,0.0,,,,,,,
Div4TotalGTime,0.0,,,,,,,
Div4WheelsOn,0.0,,,,,,,
Div4AirportSeqID,0.0,,,,,,,
Div4AirportID,0.0,,,,,,,
Div4Airport,0.0,,,,,,,
Unnamed: 109,0.0,,,,,,,
