source,model,ROC_AUC,PR_AUC,Brier
Week5_best_cv,logreg,0.9620769584513658,0.9223482324281074,0.0651257356104213
Week6_v2_uncal,nn,0.9626274728641456,0.9227742901784989,0.055284249077945095
Week6_v2_iso,nn+isotonic,0.9625806507498832,0.918270789004408,0.042704294441020245
Week6_v2_T,nn+Tscale,0.9626274728641457,0.922774290178499,0.055200450266822625
