y_true,y_prob
0,0.0043321745
1,0.99982816
0,0.007472673
1,0.33815646
1,0.08954945
0,0.0005838214
0,0.021990156
0,0.001359068
0,0.22456947
0,0.003396094
0,0.0007366512
1,0.9998628
1,0.81967944
0,0.0067654825
0,0.001980631
0,0.0011120973
1,0.11804509
0,0.0033199165
0,0.0036447018
0,0.0070211487
0,0.03456343
0,0.0028828674
0,0.005667566
1,0.23659015
0,0.047704227
0,0.0027405634
1,0.00203873
1,0.9939979
0,0.0016158837
0,0.0006262995
0,0.010243973
1,0.9970782
1,0.14554934
0,0.0026140253
0,0.009397734
0,0.003930819
0,0.011991603
0,0.0060633128
0,0.0040654824
0,0.019808648
0,0.04761131
0,0.016599908
0,0.06197544
0,0.006153045
0,0.007513002
1,0.9999909
0,0.01450249
0,0.013277647
1,0.94043285
0,0.0077458466
1,0.9903821
0,0.0027438563
1,0.95739347
1,0.2447743
1,0.9998085
0,0.02878408
0,0.0025434336
0,0.0012771781
0,0.0022499564
0,0.0020923947
0,0.00075026776
0,0.001900588
0,0.023253242
0,0.0024262632
0,0.029586898
0,0.18116498
1,0.9826188
0,0.00478462
0,0.0014636032
0,0.0020774535
0,0.009548665
0,0.0030074876
0,0.013113856
0,0.008094481
0,0.009073682
0,0.0033972964
0,0.02044214
0,0.0037287255
1,0.99686426
1,0.82188565
0,0.0059498553
0,0.008315678
0,0.13738702
0,0.004198391
0,0.0052105132
1,0.15537035
0,0.011471017
0,0.0020330285
0,0.0015702742
0,0.00068874005
0,0.0046734707
0,0.0043613403
0,0.0019844736
1,0.5257026
0,0.017077498
1,0.5320602
0,0.0008772725
0,0.004918522
0,0.0033611148
0,0.0048737954
0,0.2110092
0,0.007929695
1,0.9999171
0,0.027624935
0,0.0030185012
0,0.0033655965
0,0.0061704046
0,0.08793094
0,0.0034806195
0,0.024127636
1,0.98121244
1,0.99997526
0,0.1238881
1,0.023405563
0,0.014370221
0,0.0047695125
0,0.0028549663
0,0.008424866
0,0.0021527251
0,0.18568924
0,0.016341308
0,0.00096200994
0,0.02132192
0,0.004407684
0,0.0031068379
0,0.00096775097
0,0.007084378
1,0.9958204
0,0.006203502
0,0.03274668
1,0.07720026
1,0.04867445
0,0.09262971
0,0.026209472
0,0.005369837
0,0.612858
1,0.6481098
0,0.0013923368
0,0.0047948156
1,0.9999999
0,0.009110423
0,0.033350598
1,0.9926722
1,0.99961317
0,0.008403211
0,0.0017217026
0,0.002459942
0,0.01735982
0,0.014091821
0,0.0006438154
0,0.00439848
0,0.016077962
0,0.0037170686
1,0.032315396
0,0.0029542483
0,0.015651854
0,0.019315075
0,0.02611037
0,0.0027720942
0,0.002035255
0,0.006355773
0,0.0014318177
0,0.0031982083
0,0.0034480433
0,0.0064441296
0,0.0124450745
0,0.0022497743
0,0.04699146
1,0.9900211
1,0.9999979
0,0.022606451
0,0.0038639766
0,0.008173881
0,0.0006839144
0,0.011120075
1,0.91112167
1,0.9999185
0,0.10722765
0,0.0020532766
0,0.03592247
0,0.0073009157
0,0.006514583
0,0.01805671
0,0.0020850187
0,0.0039868387
1,0.8169486
0,0.019814081
1,0.00807199
0,0.0004370659
0,0.011295664
0,0.0017118648
1,0.00622037
0,0.023071729
1,0.012508678
0,0.0020925906
0,0.0028926968
1,0.95957476
0,0.03136611
0,0.008331795
0,0.007306168
1,0.0684703
0,0.009462499
0,0.003008001
0,0.0026887543
0,0.0025628968
0,0.0148146935
0,0.0050477195
1,0.99999934
1,0.21298246
0,0.0045137145
0,0.010484795
0,0.0029846923
1,0.8169321
0,0.0015597396
0,0.03610201
1,0.997178
0,0.0026692417
1,0.9999932
0,0.0024959107
1,0.064162254
1,0.53330433
0,0.0006936509
0,0.0054014404
0,0.029788429
0,0.023605362
0,0.008105749
0,0.0031804494
0,0.005304452
0,0.001954166
0,0.005449804
0,0.0026101645
1,0.8641522
0,0.00795028
0,0.003787447
0,0.00983062
0,0.016857995
0,0.47427005
1,0.99646485
0,0.07723953
1,0.15569185
0,0.0028560634
0,0.01077461
0,0.020367617
0,0.010406761
0,0.07298469
0,0.0023837006
0,0.00251178
1,0.0802456
0,0.0034667065
0,0.022305626
0,0.001731774
0,0.002286682
1,0.99847364
0,0.0025946144
1,0.7332224
0,0.001208129
0,0.09551743
1,0.6355484
1,0.2142172
0,0.0035681326
0,0.0069794483
1,0.99800557
0,0.07375132
0,0.0015252671
0,0.0037767158
0,0.0482595
0,0.025752997
1,0.9891499
0,0.016032267
0,0.03062506
0,0.0033385437
0,0.001614612
0,0.0083957175
1,0.7208389
0,0.015799131
0,0.00046061343
0,0.00045380802
0,0.007119071
0,0.01089403
0,0.0031694134
0,0.006436362
0,0.15467466
0,0.00102394
0,0.030579418
0,0.0020599756
0,0.01505401
0,0.0035279952
0,0.0065953503
0,0.011684749
0,0.003970112
0,0.02283283
0,0.017124174
0,0.007962952
0,0.0069202054
0,0.014302417
0,0.001151597
0,0.0022520418
0,0.006053249
0,0.011055385
0,0.033999287
0,0.008204533
0,0.00053043256
0,0.013973241
0,0.0064069848
0,0.0013211243
0,0.0010860299
0,0.0105438
0,0.12253151
0,0.0028487358
0,0.013620252
0,0.009595993
0,0.0015451111
0,0.0011016835
1,0.5671256
1,0.3840333
1,0.8647565
1,0.13355836
1,0.83690196
0,0.0065962025
0,0.0067143315
0,0.0054575237
1,0.9992923
0,0.02344637
0,0.004416944
0,0.0023748737
0,0.011360561
1,0.25503445
0,0.011707376
1,0.15494122
1,0.99943364
1,1.0
0,0.0203701
0,0.0051672915
1,0.0017500396
0,0.009833592
0,0.0020791546
0,0.003096346
0,0.0030501392
0,0.08017792
1,0.040355694
0,0.0070424136
1,0.017619783
0,0.0014358443
0,0.0041372497
1,0.99245256
0,0.008610327
0,0.0035691182
0,0.07197276
0,0.02418961
0,0.025974665
0,0.0036349543
0,0.010686922
0,0.02658425
0,0.001337027
1,0.22357084
0,0.00158165
0,0.0027733995
1,0.520505
0,0.0014575107
0,0.0012693412
0,0.005953188
0,0.004691923
0,0.016281174
0,0.027735285
0,0.018150173
1,0.99994123
0,0.017023027
0,0.040618606
1,0.9998758
0,0.0035733294
0,0.0015731513
0,0.0015687123
0,0.008154098
0,0.001551862
1,0.010788503
0,0.011538394
1,0.91291934
0,0.023103809
1,0.018747108
0,0.010092444
0,0.007045069
0,0.007972894
0,0.08411099
0,0.02788147
0,0.0012932299
0,0.00041699017
1,0.8549806
0,0.0044987854
0,0.069280304
0,0.19017892
0,0.031891
1,0.8364211
0,0.022117715
1,0.058894873
0,0.011231396
0,0.002928694
0,0.06784518
0,0.016387159
0,0.017493667
0,0.0009085074
0,0.0032494718
0,0.0029489996
0,0.0075107384
0,0.0047115264
0,0.0072572934
1,0.23676181
1,0.18298846
0,0.0117759695
0,0.0008168031
0,0.0015619181
0,0.0034152172
0,0.01055818
0,0.017643934
0,0.001990864
0,0.005928038
0,0.118940264
0,0.00347365
1,0.022420412
0,0.006455555
1,0.828221
0,0.003071981
1,0.4006668
0,0.0049549327
0,0.015131134
0,0.009464991
1,0.0022358494
1,0.1575339
0,0.001886726
0,0.005708017
1,0.3520705
0,0.00092297833
0,0.007867321
1,0.87693614
0,0.0036667455
0,0.00074802956
0,0.0016388018
0,0.0025883294
1,0.99996877
0,0.0033515953
0,0.012307513
0,0.0018755347
0,0.00056103617
1,1.0
1,0.9999863
0,0.002423443
0,0.039140116
0,0.0012110976
1,0.013375619
1,0.20830576
0,0.0012438772
0,0.006635715
1,0.21559101
