Year,Month,n,ROC_AUC,PR_AUC
2024,9,8673,0.7383450141944642,0.37587921470036
2024,10,9044,0.7408617307921651,0.32161856011504597
2024,11,8261,0.7342622718913565,0.31500593776820257
2024,12,8608,0.7376558246798234,0.4378294941610726
2025,1,7703,0.5477004138754522,0.2109796764559218
2025,2,7323,0.5570056776440498,0.24113657013236114
2025,3,8668,0.5744639463685035,0.24150313339351148
2025,4,8268,0.5822755262442529,0.2406627068609219
