model,fold,ROC_AUC,PR_AUC,best_thr_F1,best_F1,prec@best,rec@best,brier,cm@0.5_TP,cm@0.5_FP,cm@0.5_TN,cm@0.5_FN,cm@best_TP,cm@best_FP,cm@best_TN,cm@best_FN,thr_cost,n_val
logreg,1,0.9592481378062478,0.9129186250253758,0.8027230744500068,0.8421433743659017,0.8705089820359282,0.8155680224403927,0.07009226170136552,1273,571,5706,153,1163,174,6103,263,0.6286868686868686,7703
logreg,2,0.9680478336976337,0.9346011411236875,0.7201631137242039,0.8658094296071492,0.8678122934567085,0.8638157894736842,0.06132759007438979,1392,454,5349,128,1313,201,5602,207,0.4901010101010101,7323
logreg,3,0.9631406732141325,0.9245288093651411,0.8077875230812521,0.8489165924601717,0.8898568761667703,0.811577752553916,0.06726096137015439,1591,582,6324,171,1430,178,6728,332,0.5445454545454546,8668
logreg,4,0.9578711890874494,0.9173443541982247,0.758062099099362,0.8480154888668779,0.8957055214723927,0.8051470588235294,0.06182212929577576,1426,451,6185,206,1314,154,6482,318,0.45545454545454545,8268
rf,1,0.9532888049851849,0.8940102665103025,0.41333333333333333,0.8307910606593086,0.8406317300789663,0.8211781206171108,0.05256624641857117,1094,147,6130,332,1175,229,6048,251,0.26242424242424245,7703
rf,2,0.9635978894764052,0.9198918613416853,0.37,0.8556464811778961,0.8514657980456026,0.8598684210526316,0.05208661295461787,1196,129,5674,324,1309,232,5571,211,0.23767676767676768,7323
rf,3,0.9579172957565729,0.9066799716078853,0.43333333333333335,0.8406641421492236,0.8635547576301615,0.818955732122588,0.05531740886017535,1376,169,6737,386,1444,233,6673,318,0.23767676767676768,8668
rf,4,0.9487547128556063,0.8993823273768105,0.39666666666666667,0.8388941849375368,0.8712871287128713,0.8088235294117647,0.054449506799978495,1235,115,6521,397,1320,199,6437,312,0.22282828282828282,8268
