Year,Month,n,ROC_AUC,PR_AUC,Brier
2024,9,8673,0.9780445992252449,0.9360296313997475,0.041054153757246505
2024,10,9044,0.9768447177806512,0.9215435715941096,0.038379826521729304
2024,11,8261,0.9797812739430408,0.9323153012894877,0.03829635757903946
2024,12,8608,0.9760533312854799,0.9362995098781733,0.04878390281622151
2025,1,7943,0.9665792626512901,0.9205580529850543,0.05532164731903114
2025,2,7435,0.9691061974462786,0.9312336743422385,0.052931247411561376
2025,3,8785,0.9684653779870032,0.9291490249720255,0.054930345657763203
2025,4,8352,0.9626274728641456,0.9227742901784989,0.055284249077945095
