y_true,y_prob
0,0.023098322
1,0.99745244
0,0.03334319
1,0.3864007
1,0.168378
0,0.0058963965
0,0.06827373
0,0.010508014
0,0.298711
0,0.019590419
0,0.006914049
1,0.9978175
1,0.73938864
0,0.031190654
0,0.013583084
0,0.009163321
1,0.20020717
0,0.019291589
0,0.020550545
0,0.03197738
0,0.09168955
0,0.017530642
0,0.02768852
1,0.3085786
0,0.11286263
0,0.016938543
1,0.013853007
1,0.9712216
0,0.011824614
0,0.00618698
0,0.04117697
1,0.9823089
1,0.22812368
0,0.016403465
0,0.03887343
0,0.021628894
0,0.04573269
0,0.028975518
0,0.022127291
0,0.06374484
0,0.112721555
0,0.056734987
0,0.13340434
0,0.029263306
0,0.033463776
1,0.99966204
0,0.05188485
0,0.04893576
1,0.8699197
0,0.03415568
1,0.9605204
0,0.016952356
1,0.8950443
1,0.31519783
1,0.9972555
0,0.08141314
0,0.016101258
0,0.010071638
0,0.014813906
0,0.014100111
0,0.007001265
0,0.0132069215
0,0.07082
0,0.015593465
0,0.08288453
0,0.2613688
1,0.94151586
0,0.024700986
0,0.011052894
0,0.014031516
0,0.039289434
0,0.01804126
0,0.048534162
0,0.035178363
0,0.037972283
0,0.019595122
0,0.06507811
0,0.020870063
1,0.98144054
1,0.74137414
0,0.028609555
0,0.03581932
0,0.22007483
0,0.022613797
0,0.026163429
1,0.23757769
0,0.04440173
0,0.01382663
0,0.011596056
0,0.0066029797
0,0.024312176
0,0.023203278
0,0.013601014
1,0.51770926
0,0.05780769
1,0.5220954
0,0.007791894
0,0.025165357
0,0.019453483
0,0.025010725
0,0.28735268
0,0.03469692
1,0.99845636
0,0.07926112
0,0.018086044
0,0.019471055
0,0.029318811
0,0.16645664
0,0.019919407
0,0.072552726
1,0.9384376
1,0.9993284
0,0.20633665
1,0.07112357
0,0.051570795
0,0.02464832
0,0.017415324
0,0.03613353
0,0.014375435
0,0.26540485
0,0.05614948
0,0.008298981
0,0.06690479
0,0.02336957
0,0.018443335
0,0.008332807
0,0.032170426
1,0.97745466
0,0.029424505
0,0.08853479
1,0.15334044
1,0.114329524
0,0.17199667
0,0.07658666
0,0.026700031
0,0.5784326
1,0.603629
0,0.010682852
0,0.024736488
1,0.9999256
0,0.038075004
0,0.08959071
1,0.96709186
1,0.9955531
0,0.036071323
0,0.012346988
0,0.015740234
0,0.058436695
0,0.05090638
0,0.006304959
0,0.023336587
0,0.055549763
0,0.02082588
1,0.087776154
0,0.017823989
0,0.054571826
0,0.06269519
0,0.07639742
0,0.01707059
0,0.013836932
0,0.029908268
0,0.010888591
0,0.018809369
0,0.019792933
0,0.030187164
0,0.046875454
0,0.014813092
0,0.111777596
1,0.9595372
1,0.9998776
0,0.06952271
0,0.021379385
0,0.035409126
0,0.0065712715
0,0.04349242
1,0.83241695
1,0.99847466
0,0.18853052
0,0.013920196
0,0.09400829
0,0.032827083
0,0.030408604
0,0.059973627
0,0.014066265
0,0.021836907
1,0.7369438
0,0.06375634
1,0.035112854
0,0.0048352117
0,0.043948624
0,0.012298875
1,0.02947829
0,0.070457295
1,0.047034558
0,0.014101006
0,0.017571177
1,0.89853895
0,0.0860927
0,0.035865787
0,0.032842923
1,0.14212312
0,0.03905222
0,0.01804335
0,0.016720477
0,0.016184859
0,0.052622065
0,0.025609381
1,0.9999256
1,0.28902143
0,0.023747837
0,0.041820154
0,0.01794839
1,0.736929
0,0.01154296
0,0.09431209
1,0.9827215
0,0.016637985
1,0.999724
0,0.015896251
1,0.1363787
1,0.52295417
0,0.006635176
0,0.026805822
0,0.0832515
0,0.07152062
0,0.03521116
0,0.018738499
0,0.02648048
0,0.013459269
0,0.026967317
0,0.016387006
1,0.78146386
0,0.034757245
0,0.021091938
0,0.040060475
0,0.057316035
0,0.48227188
1,0.9798697
0,0.15338975
1,0.23788314
0,0.017419871
0,0.042587347
0,0.06492205
0,0.041612323
0,0.1479906
0,0.015407029
0,0.015964853
1,0.15713297
0,0.01986544
0,0.068914644
0,0.012396154
0,0.014977902
1,0.98862606
0,0.016320642
1,0.6673637
0,0.009696619
0,0.17534569
1,0.5945904
1,0.2900628
0,0.020257233
0,0.031849753
1,0.98635256
0,0.1489725
0,0.01136839
0,0.021051478
0,0.11370356
0,0.07571271
1,0.9572141
0,0.055445347
0,0.084765084
0,0.019364871
0,0.01181827
0,0.036049794
1,0.65775514
0,0.054910917
0,0.005012334
0,0.0049614445
0,0.0322761
0,0.042901352
0,0.018694391
0,0.030162698
0,0.23691575
0,0.008660538
0,0.084682904
0,0.0139510855
0,0.05318339
0,0.020102635
0,0.030661466
0,0.044950698
0,0.0217749
0,0.06997831
0,0.05791195
0,0.034794357
0,0.03166797
0,0.05140941
0,0.009384403
0,0.014823249
0,0.02894315
0,0.043323703
0,0.090716824
0,0.035498004
0,0.0055214176
0,0.05062195
0,0.030070076
0,0.010306909
0,0.009016035
0,0.041976955
0,0.204924
0,0.017389527
0,0.04977012
0,0.039419405
0,0.0114690345
0,0.009104616
1,0.54637563
1,0.41936532
1,0.78206986
1,0.21623476
1,0.7551457
0,0.030664127
