n,ROC_AUC,PR_AUC,Year,Month
7943,0.9557691492376934,0.9038008972467548,2025,1
7435,0.9652961916625885,0.9197334692380086,2025,2
8785,0.9590217435399142,0.9138322582195152,2025,3
8352,0.9560802185457515,0.9112539475781107,2025,4
