FlightDate,Origin,Dest,Reporting_Airline,y_true,y_prob
2025-04-26,BWI,FLL,WN,0,0.6493512023615656
2025-04-06,DAL,SAV,WN,1,0.0
2025-04-30,PDX,DEN,AS,0,0.5862209055912642
2025-04-27,PHX,SLC,WN,0,0.2608210922931163
2025-04-27,EWR,LAX,NK,0,0.5334023843534959
2025-04-21,DFW,SEA,AA,0,0.6114813135013393
2025-04-15,SAT,BWI,WN,0,0.34089944227087304
2025-04-18,PIT,SAV,G4,0,0.7878917598168413
2025-04-08,KOA,SEA,AS,0,0.14394514567713754
2025-04-22,DCA,DSM,OH,0,0.0
2025-04-26,ORD,SEA,AS,0,0.6493512023615656
2025-04-06,IAH,CLT,AA,0,0.14811958145405996
2025-04-12,IAH,LAX,UA,0,0.7610399893243173
2025-04-13,IAD,BNA,UA,0,0.691146972784447
2025-04-12,SLC,EUG,OO,0,0.400969515156217
2025-04-10,RDM,SAN,OO,1,0.691146972784447
2025-04-24,MIA,ORD,AA,0,0.7687912591351923
2025-04-07,SLC,LAS,DL,0,0.6398389163177297
2025-04-04,DEN,TUL,WN,1,0.37603714436829216
2025-04-24,LAS,SBA,WN,1,0.4419227276626807
2025-04-25,LAX,DAL,WN,0,0.45789399204389986
2025-04-06,DAL,HOU,WN,0,0.8549123574326005
2025-04-19,SEA,JFK,DL,0,0.8145118961656781
2025-04-29,HDN,DEN,OO,0,0.539863352178937
2025-04-28,AUS,MSP,DL,1,0.39129681161679186
2025-04-21,PVD,MCO,WN,0,0.5449108892611798
2025-04-14,CLT,SGF,MQ,0,0.8194957226474553
2025-04-02,ORD,LGA,DL,1,0.15163759605963847
2025-04-13,ICT,VPS,G4,0,0.5157259435566134
2025-04-12,BOS,FLL,DL,0,0.8145118961656781
2025-04-15,LAX,EWR,UA,1,0.5194527209835953
2025-04-11,DTW,DCA,OH,1,0.5959648921377293
2025-04-06,LAX,SFO,UA,0,0.579357201129885
2025-04-06,EWR,PBI,UA,0,0.6873370927369724
2025-04-28,SEA,AUS,DL,0,0.39129681161679186
2025-04-10,EWR,MIA,UA,0,0.653073328464749
2025-04-28,ORD,HPN,MQ,0,0.0
2025-04-12,BUR,LAS,NK,0,0.691146972784447
2025-04-21,DEN,ATL,DL,0,0.48183485838508533
2025-04-10,MSN,MSP,DL,0,0.44001912554361394
2025-04-12,PHX,OKC,OO,0,0.35028194222590003
2025-04-10,AUS,BNA,OO,1,0.478845448509919
2025-04-16,KOA,HNL,WN,0,0.17220869166431083
2025-04-10,MIA,JAX,MQ,0,0.20444436124007767
2025-04-16,PHL,RSW,AA,0,0.6241997878294586
2025-04-16,SEA,MSP,DL,0,0.021161714283721114
2025-04-23,DEN,TUL,OO,0,0.36204324388836917
2025-04-28,BOI,LAS,WN,0,0.6004113900927321
2025-04-16,BWI,DFW,AA,0,0.4424012045182939
2025-04-28,DCA,MCO,AA,0,0.5862209055912642
2025-04-01,LAX,OMA,OO,0,0.0
2025-04-10,ABQ,DEN,UA,0,0.18131104591798597
2025-04-09,LIT,LGA,YX,0,0.23844677492254157
2025-04-06,DEN,RDU,UA,0,0.8740323152461704
2025-04-13,MCO,SAT,F9,0,0.2124155101485074
2025-04-17,TTN,PBI,F9,0,0.7545966531794674
2025-04-17,SJU,FLL,NK,1,0.7437635427100923
2025-04-30,SEA,DFW,AS,1,0.47774765149475046
2025-04-13,AUS,IAH,UA,0,0.5895575611288199
2025-04-29,DCA,RDU,AA,0,0.6004113900927321
2025-04-03,SLC,SEA,DL,0,0.021161714283721114
2025-04-10,DTW,APN,OO,0,0.5096320770566164
2025-04-18,SLC,SEA,OO,0,0.20915360645659228
2025-04-13,JFK,LAX,DL,1,0.5224415048359063
2025-04-14,FAR,DEN,OO,1,0.4327950245573903
2025-04-26,SEA,MCO,AS,0,0.7531069004704487
2025-04-01,PHL,BOS,YX,0,0.24055244724437172
2025-04-28,LAX,ORD,UA,0,0.35040051594603716
2025-04-09,CLE,LAS,WN,0,0.6968550401004634
2025-04-09,CLT,CAE,OH,0,0.5926911519329137
2025-04-09,PHX,PHL,AA,0,0.28481963457457776
2025-04-26,IAD,ORD,UA,0,0.643256496426373
2025-04-06,TPA,TTN,F9,1,0.12864920455690015
2025-04-13,OAK,OGG,HA,0,0.34089944227087304
2025-04-01,DFW,LAS,AA,1,0.680137716785773
2025-04-05,BOS,JFK,YX,0,0.3637495415173658
2025-04-24,CLT,FLL,NK,0,0.7545966531794674
2025-04-30,DFW,LBB,MQ,1,0.5316178403481608
2025-04-26,DEN,XNA,UA,0,0.602123858674077
2025-04-11,IAH,DTW,DL,1,0.5224415048359063
2025-04-20,ILM,CLT,MQ,0,0.5727210163463176
2025-04-18,HOU,DAL,WN,0,0.4419227276626807
2025-04-04,IAH,LAS,UA,1,0.7063858555318723
2025-04-09,SJC,LAX,OO,0,0.14394514567713754
2025-04-03,ROC,ATL,DL,0,0.0
2025-04-30,CMH,RSW,WN,0,0.7852810297655458
2025-04-06,MSY,IND,NK,1,0.6083300124693087
2025-04-22,MIA,DCA,AA,0,0.7302663010803391
2025-04-15,ABQ,AUS,WN,0,0.34089944227087304
2025-04-04,BTV,DCA,OH,0,0.6707488494183124
2025-04-24,CLT,DTW,DL,0,0.3256831813561988
2025-04-27,ECP,ATL,DL,0,0.3256831813561988
2025-04-21,DFW,MSO,MQ,0,0.0
2025-04-24,TUS,DEN,UA,1,0.27822570372119143
2025-04-27,ATL,DEN,F9,1,0.643256496426373
2025-04-05,ORD,SRQ,UA,0,0.11386133452332037
2025-04-02,DEN,BOS,UA,0,0.33122738481229946
2025-04-05,DEN,BUR,WN,0,0.7817348333203269
2025-04-19,MDW,CMH,WN,1,0.6878172792286241
2025-04-06,FLL,RDU,NK,0,0.7437635427100923
2025-04-23,ACV,LAX,OO,0,0.0
2025-04-02,MHT,MCO,WN,1,0.6038277498452387
2025-04-29,BOS,MSY,NK,0,0.41753712511661323
2025-04-02,CLE,BOS,YX,1,0.14394514567713754
2025-04-02,MEM,LGA,YX,0,0.21217914663371443
2025-04-14,IAD,IND,YX,1,0.3831988054441685
2025-04-29,ORD,SRQ,AA,1,0.15077430303259795
2025-04-09,DEN,TUS,OO,0,0.37048442393418857
2025-04-25,BWI,IAH,UA,0,0.5959648921377293
2025-04-11,TVC,DTW,OO,0,0.7545966531794674
2025-04-21,OKC,SEA,AS,0,0.734507432107324
2025-04-16,DCA,RSW,AA,0,0.5050074845211224
2025-04-09,ORD,FSD,MQ,0,0.5926911519329137
2025-04-21,SFO,LAX,UA,0,0.8614809937915252
2025-04-25,SAN,ATL,DL,0,0.3579652730950774
