task,removed,val_ROC_AUC,test_ROC_AUC,val_PR_AUC,test_PR_AUC
clf,(none),0.5606221015064446,0.5822755262442529,0.23079806703335598,0.2406627068609219
clf,CORE,0.55833142065687,0.5767494629708424,0.22958288619595615,0.23751905272194362
clf,PROFILE,0.5986533329437127,0.6291679778451464,0.2594586319064335,0.27818721508011124
clf,ROLLING,0.5606100079019009,0.582202395726223,0.23077409573265936,0.24077015885378975
