FlightDate,Origin,Dest,Reporting_Airline,y_true,y_prob
2025-04-26,BWI,FLL,WN,0,0.17333333333333334
2025-04-06,DAL,SAV,WN,1,0.03879663815098304
2025-04-30,PDX,DEN,AS,0,0.13666666666666666
2025-04-27,PHX,SLC,WN,0,0.12231397078454556
2025-04-27,EWR,LAX,NK,0,0.31666666666666665
2025-04-21,DFW,SEA,AA,0,0.15333333333333332
2025-04-15,SAT,BWI,WN,0,0.06333333333333334
2025-04-18,PIT,SAV,G4,0,0.4533333333333333
2025-04-08,KOA,SEA,AS,0,0.06333333333333334
2025-04-22,DCA,DSM,OH,0,0.05732369810737665
2025-04-26,ORD,SEA,AS,0,0.2966666666666667
2025-04-06,IAH,CLT,AA,0,0.3333333333333333
2025-04-12,IAH,LAX,UA,0,0.26273165240882485
2025-04-13,IAD,BNA,UA,0,0.17481762665113787
2025-04-12,SLC,EUG,OO,0,0.043333333333333335
2025-04-10,RDM,SAN,OO,1,0.31227320645903406
2025-04-24,MIA,ORD,AA,0,0.18606498574215818
2025-04-07,SLC,LAS,DL,0,0.1863359811272508
2025-04-04,DEN,TUL,WN,1,0.32837895652670374
2025-04-24,LAS,SBA,WN,1,0.30666666666666664
2025-04-25,LAX,DAL,WN,0,0.17666666666666667
2025-04-06,DAL,HOU,WN,0,0.3414686004054847
2025-04-19,SEA,JFK,DL,0,0.32300264779391746
2025-04-29,HDN,DEN,OO,0,0.05
2025-04-28,AUS,MSP,DL,1,0.06666666666666667
2025-04-21,PVD,MCO,WN,0,0.06666666666666667
2025-04-14,CLT,SGF,MQ,0,0.30666666666666664
2025-04-02,ORD,LGA,DL,1,0.12666666666666668
2025-04-13,ICT,VPS,G4,0,0.2966666666666667
2025-04-12,BOS,FLL,DL,0,0.41333333333333333
2025-04-15,LAX,EWR,UA,1,0.11666666666666667
2025-04-11,DTW,DCA,OH,1,0.24360647502899038
2025-04-06,LAX,SFO,UA,0,0.5293983190754915
2025-04-06,EWR,PBI,UA,0,0.2833333333333333
2025-04-28,SEA,AUS,DL,0,0.03666666666666667
2025-04-10,EWR,MIA,UA,0,0.2733333333333333
2025-04-28,ORD,HPN,MQ,0,0.05
2025-04-12,BUR,LAS,NK,0,0.16633598112725084
2025-04-21,DEN,ATL,DL,0,0.03666666666666667
