Year,Month,n,RMSE,MAE,R2
2024,9,8604,9.692920182663444,6.8421810624022275,0.9625053923245889
2024,10,8946,9.514453173290304,6.732301902279694,0.9410336796753873
2024,11,8205,10.010281326698902,7.264234839686805,0.9617638350155909
2024,12,8528,10.8693349248426,7.585484060918579,0.9656734304203995
2025,1,7703,11.420804464886736,8.248708075181302,0.9588619066034727
2025,2,7323,11.559506394389363,8.341440778324246,0.9592899385792392
2025,3,8668,11.231329573695756,8.013269070261961,0.9638220549245372
2025,4,8268,11.055559485092555,7.744200214572428,0.9555342074264159
